Date,Open,High,Low,Close,Volume,P1_Close,P2_Open,P3_High,P4_Low,V1_Volume,daily_return,market_forward_excess_returns,risk_free_rate,date_id
2018-01-02,13625.0,15444.599609375,13163.599609375,14982.099609375,16846600192,14982.099609375,13625.0,15444.599609375,13163.599609375,16846600192,0.0970110560814097,0.014610795304552893,0.0,0
2018-01-03,14978.2001953125,15572.7998046875,14844.5,15201.0,16871900160,15201.0,14978.2001953125,15572.7998046875,14844.5,16871900160,0.014610795304552893,0.026195657872015055,0.0,1
2018-01-04,15270.7001953125,15739.7001953125,14522.2001953125,15599.2001953125,21783199744,15599.2001953125,15270.7001953125,15739.7001953125,14522.2001953125,21783199744,0.026195657872015055,0.11733292616101543,0.0,2
2018-01-05,15477.2001953125,17705.19921875,15202.7998046875,17429.5,23840899072,17429.5,15477.2001953125,17705.19921875,15202.7998046875,23840899072,0.11733292616101543,0.005593964256002781,0.0,3
2018-01-06,17462.099609375,17712.400390625,16764.599609375,17527.0,18314600448,17527.0,17462.099609375,17712.400390625,16764.599609375,18314600448,0.005593964256002781,-0.05987336056512804,0.0,4
2018-01-07,17527.30078125,17579.599609375,16087.7001953125,16477.599609375,15866000384,16477.599609375,17527.30078125,17579.599609375,16087.7001953125,15866000384,-0.05987336056512804,-0.07935014996092593,0.0,5
2018-01-08,16476.19921875,16537.900390625,14208.2001953125,15170.099609375,18413899776,15170.099609375,16476.19921875,16537.900390625,14208.2001953125,18413899776,-0.07935014996092593,-0.03788368129071751,0.0,6
2018-01-09,15123.7001953125,15497.5,14424.0,14595.400390625,16659999744,14595.400390625,15123.7001953125,15497.5,14424.0,16659999744,-0.03788368129071751,0.025891678470515656,0.0,7
2018-01-10,14588.5,14973.2998046875,13691.2001953125,14973.2998046875,18500800512,14973.2998046875,14588.5,14973.2998046875,13691.2001953125,18500800512,0.025891678470515656,-0.10468634305373903,0.0,8
2018-01-11,14968.2001953125,15018.7998046875,13105.900390625,13405.7998046875,16534099968,13405.7998046875,14968.2001953125,15018.7998046875,13105.900390625,16534099968,-0.10468634305373903,0.042876949757709726,0.0,9
2018-01-12,13453.900390625,14229.900390625,13158.099609375,13980.599609375,12065699840,13980.599609375,13453.900390625,14229.900390625,13158.099609375,12065699840,0.042876949757709726,0.02715195317395036,0.0,10
2018-01-13,13952.400390625,14659.5,13952.400390625,14360.2001953125,12763599872,14360.2001953125,13952.400390625,14659.5,13952.400390625,12763599872,0.02715195317395036,-0.04096044534981502,0.0,11
2018-01-14,14370.7998046875,14511.7998046875,13268.0,13772.0,11084099584,13772.0,14370.7998046875,14511.7998046875,13268.0,11084099584,-0.04096044534981502,0.0034707961579654167,0.0,12
2018-01-15,13767.2998046875,14445.5,13641.7001953125,13819.7998046875,12750799872,13819.7998046875,13767.2998046875,14445.5,13641.7001953125,12750799872,0.0034707961579654167,-0.16854801354629112,0.0,13
2018-01-16,13836.099609375,13843.099609375,10194.900390625,11490.5,18853799936,11490.5,13836.099609375,13843.099609375,10194.900390625,18853799936,-0.16854801354629112,-0.02627391241677912,0.0,14
2018-01-17,11431.099609375,11678.0,9402.2900390625,11188.599609375,18830600192,11188.599609375,11431.099609375,11678.0,9402.2900390625,18830600192,-0.02627391241677912,0.02558861620270214,0.0,15
